priority_rank,priority_score,priority_explanation,evidence_strength,candidate_id,repo_id,instruction_file,extracted_reference,resolved_path,extraction_rule,confidence,current_status,historical_existence,auto_drift_category,history_quality,first_seen_commit,first_seen_date,deleted_commit,deleted_date,path_lifetime_days,heuristic_likely_drift,heuristic_likely_artifact,is_real_drift,drift_type,notes
1,100,category=config_reference (+50); history=reliable (+30); deleted_commit (+10); instruction_ref (+10) → score=100,strong,DC006,dagster-io/dagster,CLAUDE.md,setup.py,setup.py,known_config_filename,,stale,existed_before,config_reference,reliable,61d6fe3d93e76b659ecfaea38244d0ad2da87c82,2018-05-22,bd4a1bec41530293f8c8ad53d077cf63b3318463,2018-07-19,58,yes,no,,,
2,100,category=source_code_reference (+60); history=reliable (+30); deleted_commit (+10); instruction_ref (+0) → score=100,moderate,DC011,apache/airflow,CLAUDE.md,airflow/cli/cli_parser.py,airflow/cli/cli_parser.py,code_span,,stale,existed_before,source_code_reference,reliable,8465d66f05baeb73dd4479b019515c069444616e,2020-03-22,243fe86d4b3e59bb12977b3e36ca3f2ed27ca0f8,2025-03-21,1824,yes,no,,,
3,100,category=source_code_reference (+60); history=reliable (+30); deleted_commit (+10); instruction_ref (+0) → score=100,moderate,DC012,apache/airflow,CLAUDE.md,tests/cli/test_cli_parser.py,tests/cli/test_cli_parser.py,code_span,,stale,existed_before,source_code_reference,reliable,8465d66f05baeb73dd4479b019515c069444616e,2020-03-22,243fe86d4b3e59bb12977b3e36ca3f2ed27ca0f8,2025-03-21,1824,yes,no,,,
4,100,category=source_code_reference (+60); history=reliable (+30); deleted_commit (+10); instruction_ref (+0) → score=100,moderate,DC013,apache/airflow,CLAUDE.md,airflow/cli/cli_parser.py,airflow/cli/cli_parser.py,explicit_path,,stale,existed_before,source_code_reference,reliable,8465d66f05baeb73dd4479b019515c069444616e,2020-03-22,243fe86d4b3e59bb12977b3e36ca3f2ed27ca0f8,2025-03-21,1824,yes,no,,,
5,100,category=source_code_reference (+60); history=reliable (+30); deleted_commit (+10); instruction_ref (+0) → score=100,moderate,DC014,apache/airflow,CLAUDE.md,tests/cli/test_cli_parser.py,tests/cli/test_cli_parser.py,explicit_path,,stale,existed_before,source_code_reference,reliable,8465d66f05baeb73dd4479b019515c069444616e,2020-03-22,243fe86d4b3e59bb12977b3e36ca3f2ed27ca0f8,2025-03-21,1824,yes,no,,,
6,90,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10) → score=90,strong,DC005,dagster-io/dagster,CLAUDE.md,examples/docs_snippets/docs_snippets/intro_tutorial/basics/connecting_ops/,examples/docs_snippets/docs_snippets/intro_tutorial/basics/connecting_ops/,explicit_path,,stale,existed_before,deleted_directory,reliable,84221d05f29b928962d25d45216f6bc28d52a910,2022-08-25,cb2b0148b00aebb93dea6a254eb05f2c6fcd40bb,2026-04-23,1336,yes,no,,,
7,82,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10); penalties: generic path token (−8) → score=82,moderate,DC029,payloadcms/payload,CLAUDE.md,src/,src/,scope_section:code_span,,stale,existed_before,deleted_directory,reliable,a6524720f55577536dd363679d887a24c45d844c,2025-03-10,54a76e1401630266cfe6efeab5ffd1bdc12a7ff0,2023-09-18,0,yes,no,,,
8,82,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10); penalties: generic path token (−8) → score=82,moderate,DC030,payloadcms/payload,CLAUDE.md,src,src/,common_directory_name,,stale,existed_before,deleted_directory,reliable,a6524720f55577536dd363679d887a24c45d844c,2025-03-10,54a76e1401630266cfe6efeab5ffd1bdc12a7ff0,2023-09-18,0,yes,maybe,,,
9,82,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10); penalties: generic path token (−8) → score=82,moderate,DC031,payloadcms/payload,CLAUDE.md,dev,dev/,common_directory_name,,stale,existed_before,deleted_directory,reliable,2f799a9420551b7999bc9f12f822fdb37042503b,2023-04-10,ac8bcfac237ea46f77bb1ee9abf3b1139d52ed41,2023-10-05,177,yes,maybe,,,
10,82,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10); penalties: generic path token (−8) → score=82,moderate,DC035,payloadcms/payload,CLAUDE.md,Dev,dev/,common_directory_name,,stale,existed_before,deleted_directory,reliable,2f799a9420551b7999bc9f12f822fdb37042503b,2023-04-10,ac8bcfac237ea46f77bb1ee9abf3b1139d52ed41,2023-10-05,177,yes,no,,,
